id	document	label
1	음악과 영상이 너무 좋았고 스토리도 기가 막혔습니다.세번째 보는데도 너무 재밌고 또보고 싶네요	1
2	감동이네요~ ! ^___^	1
3	콘돔이 이렇게 위험한 결말이 탄생하다니	1
4	와.. 이것이 영화인가.... 눈 배림	0
5	뭐 이런 영화가 다 있냐...	1
6	인실좆 판타지의 발칙함.	0
7	억지로 운동권을 미화한 느낌.가족애를 소재로 넣은 것이 그나마 감동을 유지.	0
8	귀신에 놀라 암이 완치 되었습니다.	0
9	후기가 알바인가 싶을정도뭔가싶고 불편한부분도 있었네요 아름다움으로 꾸며보고싶어하는거같았지만 무튼 별로에요	0
10	미쳤다 노잼수준 유치하고	0
11	결혼에대한 무섭고 무거운 인식을 풀어줄 법한 가족영화, 어지러운 스토리 연출 아쉽다..	0
12	초등학생 때 매일 집에서 비디오로 돌려봐도 질리지 않았다. 서른 중반,  어제 오랜만에 또 봤는데 노래 다 기억나고 감동과 재미가 어릴 때 본것 보다 다섯배다. 너무나 아름답고, 고결하며, 사랑과 진실함과 따뜻함과 웃음이 가득한 영화! 인류 영화계에 길이 남을 명작!	1
13	국제결혼의 OO점을 알리는 영화	0
14	재밌다 웃기고 극장에서봄ㅋㅋ	1
15	절때보지마셈 최악임 억지같은다 이걸 보라만든거임	0
16	요즘 아동 성추행 조두순 출소로 인해  시끄러웠는데 영화를 보고 생각이  많아졌습니다. 배우님들의 연기를 보고 화가 나기도 하고 대체 어른들은 뭘하는걸까 하는 미안함도 함께 했습니다. 사회가 피해자를 보호하고 법이 그들 편에 서서 마음편히 살수 있는 생활을 꿈꿔봅니다. 화이팅~~	1
17	별생각없이 봤는데 정말 재밌게봤네요	1
18	일본 원작을 굉장히 감동깊게 봤었습니다. 인생 영화중의 하나로 꼽을 수 있을만큼 말이죠.리메이크한다는 말을 듣고 무조건 봐야겠다 생각했고 그래서 봤습니다.원작과 비교없이 순수하게 한국영화로만 생각하며 보자.라고 마음먹었고요.솔직히 중반까지 괜찮았어요. 한지민의 시크한 조제 연기 굉장히 잘 어울리고 남주혁 괜찮았고.아..근데 이건 좀 아니죠.원작하고 비교해서가 아니라 이건 그냥 연출력이 부족한거예요.중반이후로 영화속 인물들에게 감정이입이 안되요. 진짜로요.영상미가 있다느니 주인공들 연기가 좋다드니 이건 모두 알바 소행입니다.이 영화는 감정이입하며 보는 영화예요. 그런 영화에 영상미, 연기? 이딴건 그냥 부가적인 요소일뿐이고요.보고 나오면서 너무 안타깝더라고요.왜 이렇게 만들었을까....원작과 거리를 두려 일부러 이랬나 싶기도 하고.	1
19	그린일베 지능낮은 개이버 극우들이 싫어할 아주 멋진영화	1
20	중국 자본 들어갔냐?중국을 너무 빠네	0
21	청소년들이 꼭 봐야할 영화인 거 같아요. 태아 생명의 소중함을 깨닫게 됐어요.	1
22	참신한 소재. 초중반까지의 긴박한 전개가 정말 마음에 들었어요!	1
23	이번 코난이 가장 재미있었던 듯 해요.그런데 마지막에 눈사태가 일어난 것은 좀 과장_어쨌든 재밌게 봤고요.코난 좋아하는 분들에게 강추 합니다.	1
24	감동적입니다.눈물 시원하게 흘렸네요..부모님께 효도 해야 겠어요..	1
25	이 영화를 보고 제이크 질렌할의 팬 이 되었다 스릴러와 가장 잘 어울리는 배우	1
26	목적없는 생에 이리저리 흘러가는 두 사람의 만남.하나는 연애놀음으로  하나는 거짓말로 자신들의 공허와 두려움을 채우지만.. 오랜만에 눈물샘을 자극하는 영화. 조제의 삶이 얼마나 외로웠을까..영석이 얼마나 맘에 가책을 받았을까..	1
27	왜 보면서 자꾸 눈물이 나지 .. 어릴때 추억이 생각나서 그런건가	1
28	오늘 티비에서 하길래 정말 오랫만에 다시 봤네요. 오늘도 눈물 주루륵 ㅠ	1
29	잔잔하지만 긴장감 있는 연출로 끝까지 집중하게 만듦 장면 하나하나 복선이 숨어있어 집중해서 봐야됨 제이크 질렌할과 휴잭맨 연기 때문에 누구도 편을 들 수가 없다	1
30	적절하게 운대가 들어맞는	1
31	학교에서 틀어준 영화에서는 탑인것 같다. 어제 봤는데 애들이 학교에서 단체로 영화에 집중해서 본건 처음인듯. 48번 라이언 고슬링만 보여ㅠㅠ대사가 너무 없었음ㅠㅠ	1
32	스토리는 솔직히말해 진부했지만 절정에 이르기까지의 열연과 음악선정 연출등으로 관객에게 최대한의긴장감과 수수께끼가 풀려가는 즐거움을 주기위한노력이 돋보인다. 또한 요즘같이 나가고싶어도나가지못하는 이런 시기에 나의 집, 가족이 가장 두려운 존재로 다가오는 것이 신선해서 좋다고 생각한다.	1
33	잘 모르겠다. 다만 하비에르 바르뎀의 사이코 연기와 보는 내내 다음은 어떻게 되는데? 세 사람이 어떻게 연결시킬건데? 라는 호기심을 일으킨 것은 만족스럽다. 그래도 결말은 잘 모르겠다.	1
34	전종서 배우 연기 처음보는데 정말 소름끼쳤음.	1
35	free hongkong	0
36	WWE 프로 레슬링  광팬으로써  더락  행님의   리즈  시절  화끈한 액션씬과 강렬한 카리스마와  특유의 말빨 이 종합 3종세트를 다 한꺼번에 다 보게되다니 축복 받은거라 았싸라비아 ~~ 너무 꿀 재미있게 잘 즐겨 봤습니다내 인생 최고의 영화였음믿고 보는 흥행의 제조기 더락 행님 개멋찌넹더락 행님 작품이면 꼭 다 챙겨 봐야지행님의 분노가 카지노를 한방에 다 뒤엎어버리넹 레알 지렸다 ~~실화를 바탕으로 제작한 영화라 더 감명 깊었고 감동 묵었고더욱 짠했다 마이 배우고 가네	1
37	뭐지 이게 . ..왜 이게 9점일까 .. .  30년전이라 그런건가 . ...그때는 잼있는 영화였나보다 .. .	0
38	우리나라에서도 이런 오락영화가 있었다니 근래에 나오는 영화들보다 훨씬 재밌다	1
39	가볍게 보기 최고 적당히 유머도 있고 재밌다	1
40	진짜 태어나서 본 영화중 제일 쓰레기하지말란건 좀 하지말고하란건 좀해라 진짜	0
41	만화를 영화로 제작했다는데 흥미있었는데 스케일도 크고 볼거리가 많고 재밌었어요	1
42	여기 벨 아버지로나온 양반이 우리사장님같아서 짜증	1
43	선넘은 영화 과유불급 그래도 잘만들긴한다	1
44	영드도 좋고 이영화도 좋고	1
45	천재라고 불리기전 그도 그저 사람일뿐인데	1
46	좋다. 산타의 기원인가? ㅎㅎㅎ	1
47	오랜만에 감명깊음 감독의 영화에 대한 애정도 느껴지는 수작	1
48	간만에 재밌는 영화~ 어쩜 이리도 연기들을 잘하누	1
49	그냥 뻔하디 뻔한 스토리. 주인공은 근본도 없이 세상 무서운 줄 모르고 조폭들에게 날뛰는데 주인공 버프로 흘러가는 스토리 개연성.	0
50	진짜 지브리 작품은 보면서 힐링받는 기분이 제대로 든다. 가끔 잃어버린 동심을 되찾는 느낌?	1
51	감동적이었습니다. 몰랐던 진리를 알게 되어서 감사드립니다.	1
52	연상효과란.. 겨울=이별=죽음=망각=러브레터=희망	1
53	우리 역시 깊이 생각해야한다.생명의 존엄성은 정치.경제.이념과 사상의 충돌을 떠나야한다.다 잃어도 잃지말아야 할 것이 있다.	1
54	마지막에 성동일이 통장까지 가지고있는데 정보를 모른다는게 말이 안되네	1
55	최근 본 영화중에 제일 재밌었어요 웃긴데 공포 완전 좋음 ㅜㅜㅜㅜ	1
56	이런 영화의 존재를 몰랐다는게 아쉽다. 꼭 한번씩 보세요. 살아가는데 새로운 시각과 자세를 생각하게 됩니다.	1
57	이걸 10살때 엄마가 틀어줘서 처음봤는데 아직도 계속 돌려보고있음 내 인생영화.판틴의 노래과 자베르가 부르는 노래가 제일 감동적이였음... 정말 몇십번은 본거같애...배우들 라인도 다외움 ㅠㅜㅠ꼭 봐	1
58	간만에 괜찮은 영화 발견!! 연기 스토리 너무좋고 크리스마스 연말에 딱좋은영화네요 많이 웃고 울지만 기분좋아지는영화입니다	1
59	소원이가  잘 자라고 있기를 진심으로 바랍니다..	1
60	이 시대에 젊은이들이 꼭 봐야할 영화임다	1
61	just "LEGEND"	1
62	재미도 감동도 모두 잡은 영화	1
63	잘만든 SF영화 명작당신이 다시 볼 때 마다 또 감탄하게된다	1
64	요즘같이 숨이 막힐만큼 많은정보의 홍수속에서는 정보수용 통로가 때론 치명적인장애가 될수도있다. 인간이 행복한 피안의세계를 느낄려면 많은수양과 큰댓가가 필요할것이리라. 많은 소중한것을 잃어버릴수 밖에 없다는것을 느낄때까지는...	1
65	작가가 글을 쓰고, 감독이 연출을하고, 배우가 연기를 하는 동안... 누구하나 이게 개연성에 문제가 있다고 생각하지 않은거야?넷플릭스 한국 영화는 무조건 거르자.	0
66	진짜 예상치도 못한 방향으로 이야기가 전개되곤 하는데 그게 나쁘지가 않음 ㅋㅋ 생각없이 웃음이 필요할때 찾으면 좋은 킬링타임 영화. 다만 ㅅ드립이 많아서 가족들과 같이 본다면 민망할 수 있음 ㅋㅋ	1
67	드리스가 불법주정차 한 사람 패서 쫓아낼때가 개꿀잼ㅋㅋㅋ	1
68	몇 번을 본 건지 셀 수가 없다	1
69	아이의 순수한 마음을 가진 수퍼히어로~이야기도 재미있으면서 감동도 있는 영화였어요.강력 추천이요	1
70	공포물을 원한다면 안보길 권장한다.2까지 나올정도면 재미있겠구나 싶어서 봤지만~~////호불호가 강한영화라고는 하지만 어째 감상평들은 저리 좋은지?	0
71	진짜 리얼하다 하정우는 착한 선임이다..	1
72	새로은이야기에  예츠익하기 힘든 전개로 시시해짐없이 재미나게 본요	1
73	흑흑레전드다 진짜..	1
74	사랑은 이해하겠는데, 목숨은 이해를 못하겠음	1
75	현실의 여경은 개판인거 다 아는데 굳이 이런남자는 무능력하고 여자가 다 때려잡는 개같은 여성향 영화는 왜 만드는거냐? 이걸 또 평점 9점대로 만드는 니네들은 뭐냐? 진짜 한국영화의 미래가 밝다...	0
76	코미디 영화 안 좋아하는데 재밌네요	1
77	불편하고 답이 없어 보이는 주제의 갈등이지만 무겁지 않고 유쾌하게 풀어 냈다. 가족 내 갈등 원인은 사건이 문제가 아니고 가족이 서로 사랑하고 아끼는 마음이 커서 발생한다. 서로 관심이 없다면 갈등 자체가 일어나지 않는다.	1
78	영상미 좋아요 다쿠스터리 좋음	1
79	임수정의 아름다움이 절정에..  근데 위스키 한 병을 못 이긴다니.. 그게 인간이긴 하지만.	1
80	요즘에도 이런 따뜻하면서도 지루하지않는 영화들이 많이 나오면 좋겠다ㅠㅠ 힘들고 불우한환경의 주인공을 행복하게 해준 따뜻한 영화ㅠㅠㅠ	1
81	10년전 프랑스가 지금의 한국이다프랑스는 10년이 지난 지금 얼마나 달라졌을지 궁금해지는 영화범세계적으로 부부가 반드시 봐야할 영화 ㅎ	1
82	현재 상황과 너무 비슷해서 정말 놀래면서 봤네요....이놈의 바이러스 정말 무섭네요.... 다들 마스크 잘 쓰고 다니시고 사람들 많은데 다니지 맙시다ㅠ	1
83	재밌다 확실히 재밌다 이해하면서 보는맛이있다	1
84	진짜 두번다신 있어서 안되는 일. 소원이가 신고하는 순간부터 내내 눈물흘렸어요. ㅠㅠ	1
85	네일 받으면서 네일언니가 틀어줘서 봤는데 이거 본다고 넘 집중해서 네일 끝난지도 몰랐음 끝나고 네일샵에서 더 보다감 ㅋㅋ	1
86	정말 저랑 똑같네욬ㅋㅋㅋ	1
87	모든 상황과 대사가 현실적이라가슴에 더욱 사무친다...나와 가족에 대해 생각하게 되는 영화	1
88	너무 재밌다 너무 재밌다 있다	1
89	보는내내 눈물만 주룩주룩 ㅠㅠ 진짜 명영화	1
90	이 소재로 이런거밖에 못만든 감독은 솔직히 감독 그만둬야함모든 범죄가 허용되는 단 하루의 날이라는 소재로 나홀로집에를 찍는다고? ㅋㅋㅋ	0
91	조두순 진짜 감옥에 더 처넣어야 한다.	1
92	결혼전에 봐야할 영화!  예비신랑이 있다면 같이보고 많은 대화가 필요한 영화!	1
93	유지인은 늙지도 않네	0
94	b급같았으나 의외로 연기나 스릴은 괜찮음	1
95	광해 이전의 이병헌과 광해 이후의 이병헌은 모든면에서 다르고 틀리다	1
96	몸에서 사리 나올뻔. 혹시 해탈한 사람 있나?	0
97	이 영화 정말 강추에요! 후회하지 않습니다.^^영화를 보면....우리나라의 미래가 걱정됩니다.낙태를 허용하면..한국은 인구절벽이 심화되어 OECD 경제력 최하위 국가가 됩니다.그리고 미성년의 문란함과 성인의 불륜이 많아져 문란한 시대의 배경을 제공하고 가정은 흔들리게 됩니다.대한민국의 국가발전과 건강한 사회를 위해서도 낙태를 허용해서는 안됩니다.	1
98	요즘 유튜브 하는 사람들이랑 머가 다르냐?가만보니 우리나라도 소시오패스가 그럼 수십만이네	1
99	영화 "조커" 원작격인듯.	1
100	나는 동주랑 옥주의 삶을 똑같이 산 것도 아닌데 마치 꼭닮은 여름을 보낸 것 같은 기분이 들었다. 그리고 옥주가 화가 나거나 감정을 주체할 수 없을 때마다 자전거를 끌고 나가는 모습이 나같아서 공감이 많이 갔다. 나의 어느 여름 날엔 중국인 룸메이트 언니가 처음으로 서울에서 자전거를 타는 법을 알려줬는데ㅠㅠ...언니가 중국으로 떠나고 나서는 언니 뒷바퀴에 내 앞바퀴를 바싹 붙여가며 따라가는 일은 없어졌지만 언니랑 갔던 미술관까지 혼자서 가게됐다고... 말해줄걸 그랬어...!	1
101	나의  힐링영화~~시골가서  살고  싶다	1
102	'괜찮다'고 말해주는것 같았습니다 '미소'라는 인물은 우리 청춘들속에 존재하지 않으니 더욱 고귀한 존재같았어요. 구질구질한 현실에 맞서 하루하루 전전해도 끝까지 자기 자신을 잃지않으려는 용기,극중에서 담배와 위스키는 자기자신에 대한 최고의 위로이자 굳은 의지였죠. 우리가 살아가면서 한번쯤은 고민해볼수 있는 문제를 제시하는 영화였어요	1
103	그냥 광고 방송 같은 느낌	0
104	나오지 말았어야할 속편.	0
105	독립영화 치고는 잘 만들었네.. 마지막 반전이 재미있었다	1
106	사실 출연 배우들만 보면 이 정도밖에 안되나 하고 아쉬운 생각이 드는게 사실 입니다만, 역사적 사실을 알려준 것에 대해 높게 평가 합니다	1
107	개꿀잼 아니고 개꿀잠.	0
108	이것은 재밌는만큼 어려운것일까, 어려운만큼 재밌는것일까?	1
109	여태 별탈없이 살아온 인생에 감사함을 느끼게해 준 영화~	1
110	너무 기대를 했던 것 같음...	0
111	진짜로 개띵작임 ㄹㅇ 평점 생각보다 낮게나와서 놀람	1
112	소리 지르는거 듣기싫은 최악의 영화 시간이 아깝다이런영화 안만들었으면 좋겠음	0
113	내용은 뉴52 샤잠 오리진이랑 거의 같아서 나쁘진 않은데 문제는 15살이 변신을 하면 5살이 되는거 같다	0
114	뛰어난 영상미와 배역에 잘 어우러진 배우들 특히 한지민의 절제력있는 조제 연기가 큰 울림을 주었다.	1
115	내가 죽던 날을 보고 난후 잠을 이루지 못할 정도로 긴 여운이 남았었다 역시 김혜수다! 추운날 보기 딱 좋은 영화인듯 강추합니다	1
116	대길이 나오는 영화에 안젤리나 졸라이쁨.안젤리나 이쁜거밖에 기억안남	1
117	이런 서사구조를 만들어낸다는게 놀랍다..	1
118	1점도 아까운 영화.무슨의도로 이런영화가 세상에 나왔을까	0
119	토요일 새벽에 께서 잠이 안와 듣기시작한 성기경 노래가 영화까지 보게 만들었다.근 10년간 울기 싫어 안보았는데 역시 영상 연기 OST 까지 완벽하다.아직도 안봤다면 꼭 추천한다. 특히 새벽이나. 늦은 밤에 보길 바란다.	1
120	첨부터 끝까지 유치해요	0
121	인생 영화다. 차갑지만 뜨겁다. 철로된 끈보다는 나노 입자로 된 아주 가는 끈이 이 영화와 나를 잇고 있는 기분이다.	1
122	보는 내내 즐거움과 행복이 가득해지는매우 재밌는 로맨틱 코메디 영화입니다.OST도 일품!젊은 시절의 정재영과 풋풋함이 남아있는이나영을 볼 수 있습니다.^~^모두에게는 항상  '아는 여자' 있었고, 지금도 존재합니다.아는 여자와함께 행복한 삶을 꿈 꾸어보시길 바라며...	1
123	너무 지루함. 스토리 안치밀 . 우울. 독립영화딱 그수준.	0
124	간만에 웃었습니다역시 양동근씨 멋지세요	1
125	진짜 연기력들 징~하다 , 남주 어린꼬마애 억지 오바연기부터 성장한 남주 또한 억지오바연기에 억지 가식미소;;;와;~ 무슨 일반인들 가져다쓰는줄;;;;	0
126	대사대신 눈빛과 행동.생활 소음으로 모든걸 다 얘기한다. 가슴아픈 현실을 아주 담담하게 보여주는 영화로  묵직한 감동의 여운이 짙다.	1
127	개인적 취향으로 너무너무 좋았던 영화에요지나칠 수 있는 사소한 것에서 영감을 얻어 작품으로 녹여내는 그런 연출이 참 좋네요 독일이 보여주는 감성 장르가 이런게 아닐까요 ㅎ	1
128	다음세대가 사라질 위기, 낙태사업, 생명경시 풍조에 경종을 울리는..실화에기반한 감동적인 영화입니다.	1
129	참으로 귀한 영화가 아닐 수 없습니다.온 국민들이 다 같이 함께 보길 소망합니다.	1
130	느금....마사....	0
131	초반살짝볼만하다후반부정말너무졸립네요	0
132	'원치않는 임신을 줄여 여성을 보호하자'는 좋은 마음으로 달려가던,낙태 세일즈의 길에서 돌이켜 자신의 전  근무처 밖에서,한사람이라도 낙태하지않도록 설득하며 옳은 길을 밝혀주는 빛이 된다.강추요15세 관람가	1
133	말 좀 되게 스토리를 써라.	0
134	모든게 잘 조화로운 정말 너무 좋은 영화에요! 배우들에 톡톡튀는 연기도 너무 사랑스럽고 기분좋아지는 영화!	1
135	웃기면서도 씁쓸한 영화. 요즘 분위기에 교수님 고소감이네 ㅋㅋㅋ	1
136	애플주식 사라고 했음 해피엔딩 아니냐	1
137	아주 잘봤습니다.^o^	1
138	파인애플, 부엉이, 안경 쓴 애벌레..	1
139	7년 전에 볼 때 이런 사회 부조리에 마음이 쓸쓸했는데 7년이 지나서 보니 그런 마음이 별로 안 느껴지네요 잘하는 일 입니까 질문에 잘 한다고 믿는게 중요하지 명대사입니다	1
140	솔직히 이거도 영화냐?내용개연성 전혀없고 완전 노잼에 손발오글거리는 저질영화.영화제작비가 아깝다.돈이 남아돌아서 이런영화 자꾸 만드는건지 이런영화를 관객이 수고롭게 극장까지가서 돈주고 보고싶게 하고 싶나요?	0
141	마지막에 뭐냐? 시나리오 완성도가 이렇게 떨어지는 B급 영화를 추천하는 것이 이상하다. 날다가 떨지다가 끝난다. 헐. 허무해.	0
142	평점 처음써봄 일단 영화 내용 자체는 말도안함뭐라 할말도 없음 내용이 ....근데 배우마다 배역이 진짜.. 이 배우를 왜 여기다가 썻는지 도통 이해가 안감 촬영하면서도 이상하다는 느낌을 받지 못했을까..?.. 라는 생각까지드는 신비한 영화..	0
143	허접하고 조잡하고 치졸하고 부끄럽고	0
144	진정한 '생명존중', '사람중심'의 의미를 깨닫게 하는 영화.	1
145	호이가 둘리된다길래 하두 유명해져서 오늘 첨봄,,  역시 고대생 성폭력사건일때 인재가 아까워서 의사코스 그대로 가게하는거보고류승범생각나네,, 똑똑하고 직업이 사자면 세번을 실수해도 넘어가고 그외엔 ㅎㅏㄴ번의 실수에 목숨까지 날라가구나 ㅡㅡ	1
146	군대제대후 극장서 봤었는데..20년이 훌쩍넘어서 또 보게될줄야..	1
147	놀란은 진짜 사고력 독창성 천재인듯 미래에서 과거로간 주인공들의 시간을 역순으로 배치 해놓음 영화의 처음부터 끝까지  하나의 이야기를 반으로 접어서 겹친 느낌이랄까? 천재다 천재	1
148	웨이터 불쌍해...ㅠㅠ	1
149	다시 보면 여운이 너무 많이 남을까봐 못 보겠습니다. 지금이야 영상통화도 너무나 쉬운시대에 살면서, 유선전화조차 어렵던 장거리 커플이 되어 점점 각자의 삶을 찾을 수밖에 없어 연락이 끊길 수밖에 없었던 안타까운 이야기 ㅠ	1
150	형용할 수 없는 감동이 느껴집니다...	1
151	오랜만에 마음이 젖어드는 영화를 보았네요개봉당시 수험생이라 못봐서 아쉬웠는데..이제야봤네요. 추천합니다.	1
152	그저 겟아웃에서 느꼈던 영화적 재미만을 기대하고 본 사람이라면 실망했을 수 있다. 그러나 영화가 담고있는 수많은 은유와 상징들, 그리고 감독이 겟아웃에서처럼 미국사회에 던지는 메시지를 이해한다면 이 영화가 엄청난 작품이라는 걸 알게될 것이다. 허투루 흘러가는 것 없이 매우 많은 복선들을 깔아둔 그 디테일함에도 찬사를 보낸다.	1
153	이거 재평가 해야한다. 와... 저예산인데 이런 퀄리티라고? 미쳤네 진짜.. 더구나 내용도 좋고. 교훈적이고만. 평론가들보소. 엑스맨만 최고라는거냐? 평론가 말은 역시 똥이야.	1
154	생각보다 재미있어요. 시간때우기용으로 괜찮아요. 영화가 통쾌함.	1
155	사실에 바탕을 두었음에도 딱딱하지 않고 스토리 전개가 흥미진진하며 인간의 존엄에 대한 무게있는 주제를 심도있게 다룬 좋은 영화임	1
156	영화다운 영화. 엔딩크레딧이 올라가고 음악이 나오는데 왜이렇게 슬픈지.. 참 슬픈영화다. 참 생각을 많이하게 만드는 영화다.스토리 전개방식, 영상미, 배우들 연기가 빛난다	1
157	테넷은 진짜 미친영화다!별점 100개 때리고 싶다. 크리스토퍼 놀란 감독님에게 경의를 표합니다!테넷 보고나서 한동안 여운이 많이 남아서 영화관에 2번 더 가서 혼자 보고 옴	1
158	아주 잘 봤습니다.그 이상의 말은 의미없음.	1
159	0점주고 싶다.. 진짜 시간낭비했네ㅠ	0
160	아동 성범죄 초강수를 두는 미국에서 이런일이!!	0
161	보는내내 짜증나게 만든 쓰레기영화	0
162	전종서배우의 연기가 좋았음,, 사실 그 이상은 모르겠음	0
163	호파의 마지막 눈빛을 잊을 수 없다	1
164	저희 학교 졸업생 졸작보다도 만듦새가 떨어집니다.... 배우들이 불쌍한 영화	0
165	스토리는 단순한 스토리. 어디까지나 우리가 흔히보던 스토리임.	1
166	둘 청소년들의 희망을 품을 꿈을 넓게 펼칠 수 있는 착한 세상이 왔으면...	1
167	반일선동질 하면서 일본에 아파트 사고 렉서스에 환장해서 타고다니는 꼴통 박영선 경희대 지리학과 그것도 편입했다며? ㅎㅎㅎ 에라이 ~MY평점 TBS 뉴스공장 출연하면서 출연료 졸나게 챙긴다고 하더니 성북동집에서 산다고? 자기는 신부르주아 계급에 올랐으니 프롤레타리아 계급들은 호텔방이나 여인숙에 살아도 된다... 아~ 정말 산적 김어준의 기름진 목덜미에 개줄을 묶어서 똥개들 우리에 던져버리고 싶다.	0
168	그녀 한마디에 울고 웃었던 그저 그시절의 나	1
169	영화 참 많이 보고 리뷰고 많이 봤지만 평점 알바 있다는 글만 보고 실제로 제대로 체감 못해봤는데 이 영화보고 알았다 이런 영화에 평잠 8점10점 주는 거 보고 분명히 알바가 존재한다는걸 깨달음 진짜 이런 영화가 상업 영화라고 나온게 너무 충격적임 이렇게까지 재미없는 영화 처음 봄	0
170	월가와 정부가 합작하여 부동산에 버블을 일으키고, 그 피해는 고스란히 하층민,중산층만이 받았다.책임을 지지않는 월가와 정부를 비판하는작품.	1
171	나만 당할수는 없다ㅡㅡ 꼭봐라	1
172	새벽에 심심해서 틀었다가 정말 순식간에 빠져들어서 몰입하고 봤던 정말 최고로 소름끼치는 영화	1
173	진짜 한순간도 눈을뗄수없어	1
174	기대 1도안하고 봤는데 생각보다 영상이 주는 느낌이 좋았다	1
175	이 영화 왜망했지?ㅡㅡ	1
176	웃긴장면땜에 빵터짐ㅋㅋㅋ	1
177	마지막장면 솔직히 벼ㅇ신같다 그냥 홍콩느와르 기분 내려는거 같은대 담배는 왜 꼬라무노 벼ㅇ신아ㅋㅋㅋㅋ	0
178	인생영화 중 하나예요 벌써 5번을 봤지만 다시 봐도 재미있고 가슴이 아릿해지는 영화...언제봐도 후유증이 씨게 남는 영화	1
179	그냥저냥 볼만한정두	1
180	마이크에게 감정이입 하면서 본 영화. 실제인물은 마이클이 잘생겼더라	0
181	흥미로운 생존 영화. 그러나 대위의 이해할 수 없는 단독행동이 오점.	1
182	티벳 프리. 제발 티베트를 가만히 둬라. 넷플릭스로 굉장히 감명깊게 봄. 킬링타임용으로 보려했는데, 영상미부터 지루한시간없이 흘러가서 생각보다 진짜 재밌게 잘봄	1
183	고발과 재치의 정돈이 수준급이다. 정말 잘 봤습니다. 감사합니다.	1
184	출연하는 모든배우들의 연기는 탑급이나스토리 개똥망, 여주 고구마답답이후반갈수록 스토리 노답입니다.목격자였나 이성민배우분 나오는거이후로이런 깊은빡침 오랫만이네요	0
185	퇴마 악령 귀신.. 이런 내용 딱 질색이라 개봉하고 한참 시끄러웠을때도 무서워서 보기 싫었는데지금 보니 너무 재밌고 무서운 스토리도 아님 근데 초반에 가톨릭 어르신들 (직책을 모름 ㅎ) 어른들의 얘기핼때 단어가 익숙하지 않아서 그런지 엄청 어색하게 들림ㅋㅋㅋ	1
186	20대1번 30대1번40대 때도 봐야지 느낌이 너무달라서좋다	1
